CONNECTION,TOTAL,ipV4,ipV6,TCP,UDP,ARP,ICMP,IGMP,CAST,INTERNAL,DOMESTIC,FOREIGN,HOSTILE
2603:6080:ce03:b91a:cd66:ff8a:22a3:974b-->>2607:f8b0:4004:811::200a,8,0,8,8,0,0,0,0,0,0,8,0,0
2607:f8b0:4004:811::200a-->>2603:6080:ce03:b91a:cd66:ff8a:22a3:974b,6,0,6,6,0,0,0,0,0,0,6,0,0
192.168.1.3-->>184.24.40.6,2,2,0,2,0,0,0,0,0,1,2,0,0
2606:4700::6810:125e-->>2603:6080:ce03:b91a:cd66:ff8a:22a3:974b,13,0,13,13,0,0,0,0,0,0,13,0,0
2607:f8b0:4004:802::2003-->>2603:6080:ce03:b91a:cd66:ff8a:22a3:974b,3,0,3,3,0,0,0,0,0,0,3,0,0
192.168.1.3-->>52.114.88.28,6,6,0,6,0,0,0,0,0,5,0,6,0
2600:9000:208f:7400:e:92e8:e600:93a1-->>2603:6080:ce03:b91a:cd66:ff8a:22a3:974b,15,0,15,15,0,0,0,0,0,0,15,0,0
2603:6080:ce03:b91a:cd66:ff8a:22a3:974b-->>2600:9000:208f:7400:e:92e8:e600:93a1,8,0,8,8,0,0,0,0,0,0,8,0,0
192.168.1.5-->>52.19.60.106,17,17,0,17,0,0,0,0,0,16,0,17,0
52.19.60.106-->>192.168.1.5,10,10,0,10,0,0,0,0,0,9,0,10,0
2607:f8b0:4004:806::200e-->>2603:6080:ce03:b91a:cd66:ff8a:22a3:974b,3,0,3,3,0,0,0,0,0,0,3,0,0
2607:f8b0:4004:807::200e-->>2603:6080:ce03:b91a:cd66:ff8a:22a3:974b,9,0,9,9,0,0,0,0,0,0,9,0,0
2607:f8b0:4004:811::2002-->>2603:6080:ce03:b91a:cd66:ff8a:22a3:974b,82,0,82,82,0,0,0,0,0,0,82,0,0
2607:f8b0:4004:82a::2003-->>2603:6080:ce03:b91a:cd66:ff8a:22a3:974b,26,0,26,26,0,0,0,0,0,0,26,0,0
2607:f8b0:4004:803::2016-->>2603:6080:ce03:b91a:cd66:ff8a:22a3:974b,3,0,3,3,0,0,0,0,0,0,3,0,0
2603:6080:ce03:b91a:cd66:ff8a:22a3:974b-->>2607:f8b0:4004:807::200e,7,0,7,7,0,0,0,0,0,0,7,0,0
2603:6080:ce03:b91a:cd66:ff8a:22a3:974b-->>2606:4700:20::681a:82c,8,0,8,8,0,0,0,0,0,0,8,0,0
2606:4700:20::681a:82c-->>2603:6080:ce03:b91a:cd66:ff8a:22a3:974b,5,0,5,5,0,0,0,0,0,0,5,0,0
2603:6080:ce03:b91a:cd66:ff8a:22a3:974b-->>2a03:2880:f103:83:face:b00c:0:25de,21,0,21,21,0,0,0,0,0,0,21,0,0
2a03:2880:f103:83:face:b00c:0:25de-->>2603:6080:ce03:b91a:cd66:ff8a:22a3:974b,15,0,15,15,0,0,0,0,0,0,15,0,0
192.168.1.5-->>151.101.65.140,1,1,0,1,0,0,0,0,0,0,1,0,0
151.101.1.140-->>192.168.1.5,1,1,0,1,0,0,0,0,0,0,1,0,0
2607:f8b0:4004:809::200a-->>2603:6080:ce03:b91a:cd66:ff8a:22a3:974b,11,0,11,11,0,0,0,0,0,0,11,0,0
