CONNECTION,TOTAL,ipV4,ipV6,TCP,UDP,ARP,ICMP,IGMP,CAST,INTERNAL,DOMESTIC,FOREIGN,HOSTILE
34.236.239.38-->>192.168.1.5,2,2,0,2,0,0,0,0,0,1,2,0,0
192.168.1.5-->>104.111.70.209,5,5,0,5,0,0,0,0,0,4,5,0,0
104.111.70.209-->>192.168.1.5,3,3,0,3,0,0,0,0,0,2,3,0,0
2603:6080:ce03:b91a:cd66:ff8a:22a3:974b-->>2607:f8b0:4004:829::2005,1,0,1,1,0,0,0,0,0,0,1,0,0
192.168.1.3-->>162.125.19.130,4,4,0,4,0,0,0,0,0,3,4,0,0
192.168.1.3-->>52.177.165.30,3,3,0,3,0,0,0,0,0,2,3,0,0
192.168.1.3-->>162.125.19.131,3,3,0,3,0,0,0,0,0,2,3,0,0
fe80::3649:5bff:fecd:fa1a-->>ff02::1,2,0,2,0,0,0,2,0,0,1,0,0,0
2603:6080:ce03:b91a:cd66:ff8a:22a3:974b-->>2620:0:861:ed1a::2:b,4,0,4,4,0,0,0,0,0,0,4,0,0
2603:6080:ce03:b91a:cd66:ff8a:22a3:974b-->>2620:0:861:ed1a::1,4,0,4,4,0,0,0,0,0,0,4,0,0
2620:0:861:ed1a::1-->>2603:6080:ce03:b91a:cd66:ff8a:22a3:974b,4,0,4,4,0,0,0,0,0,0,4,0,0
2620:0:861:ed1a::2:b-->>2603:6080:ce03:b91a:cd66:ff8a:22a3:974b,4,0,4,4,0,0,0,0,0,0,4,0,0
192.168.1.3-->>69.94.68.37,1,1,0,1,0,0,0,0,0,0,0,1,0
2603:6080:ce03:b91a:cd66:ff8a:22a3:974b-->>2607:f8b0:4004:802::2008,2,0,2,2,0,0,0,0,0,0,2,0,0
192.168.1.3-->>192.168.1.255,2,2,0,0,0,0,0,0,2,1,0,0,0
192.168.1.5-->>35.190.40.240,1,1,0,1,0,0,0,0,0,0,1,0,0
2603:6080:ce03:b91a:cd66:ff8a:22a3:974b-->>2607:f8b0:4004:829::200d,3,0,3,3,0,0,0,0,0,0,3,0,0
192.168.1.5-->>172.217.8.2,2,2,0,2,0,0,0,0,0,1,0,0,0
2603:6080:ce03:b91a:cd66:ff8a:22a3:974b-->>2607:f8b0:4004:804::2001,2,0,2,2,0,0,0,0,0,0,2,0,0
2607:f8b0:4004:808::200e-->>2603:6080:ce03:b91a:cd66:ff8a:22a3:974b,1,0,1,1,0,0,0,0,0,0,1,0,0
192.168.1.5-->>172.217.13.227,2,2,0,2,0,0,0,0,0,1,0,0,0
172.217.13.227-->>192.168.1.5,1,1,0,1,0,0,0,0,0,0,0,0,0
192.168.1.5-->>34.96.117.191,25,25,0,25,0,0,0,0,0,24,25,0,0
34.96.117.191-->>192.168.1.5,30,30,0,30,0,0,0,0,0,29,30,0,0
2603:6080:ce03:b91a:cd66:ff8a:22a3:974b-->>2606:4700::6812:14e2,5,0,5,5,0,0,0,0,0,0,5,0,0
2606:4700::6812:14e2-->>2603:6080:ce03:b91a:cd66:ff8a:22a3:974b,4,0,4,4,0,0,0,0,0,0,4,0,0
192.168.1.5-->>34.210.121.31,11,11,0,11,0,0,0,0,0,10,11,0,0
34.210.121.31-->>192.168.1.5,8,8,0,8,0,0,0,0,0,7,8,0,0
52.85.144.97-->>192.168.1.5,1,1,0,1,0,0,0,0,0,0,1,0,0
192.0.77.2-->>192.168.1.5,2,2,0,2,0,0,0,0,0,1,0,0,0
2603:6080:ce03:b91a:cd66:ff8a:22a3:974b-->>2607:f8b0:4004:810::2001,1,0,1,1,0,0,0,0,0,0,1,0,0
192.168.1.5-->>172.217.164.130,4,4,0,4,0,0,0,0,0,3,0,0,0
209.58.153.119-->>192.168.1.5,2,2,0,2,0,0,0,0,0,1,2,0,0
192.168.1.5-->>209.58.153.119,1,1,0,1,0,0,0,0,0,0,1,0,0
2603:6080:ce03:b91a:cd66:ff8a:22a3:974b-->>2607:f8b0:4004:809::200a,7,0,7,7,0,0,0,0,0,0,7,0,0
2603:6080:ce03:b91a:cd66:ff8a:22a3:974b-->>2606:4700::6810:5614,1,0,1,1,0,0,0,0,0,0,1,0,0
2606:4700::6810:5614-->>2603:6080:ce03:b91a:cd66:ff8a:22a3:974b,2,0,2,2,0,0,0,0,0,0,2,0,0
2606:4700::6813:f81e-->>2603:6080:ce03:b91a:cd66:ff8a:22a3:974b,1,0,1,1,0,0,0,0,0,0,1,0,0
2600:9000:2073:4400:1e:2318:6540:93a1-->>2603:6080:ce03:b91a:cd66:ff8a:22a3:974b,1,0,1,1,0,0,0,0,0,0,1,0,0
192.168.1.5-->>94.31.29.96,1,1,0,1,0,0,0,0,0,0,0,1,0
2603:6080:ce03:b91a:cd66:ff8a:22a3:974b-->>2001:4de0:ac19::1:b:2b,2,0,2,2,0,0,0,0,0,0,2,2,0
2001:4de0:ac19::1:b:2b-->>2603:6080:ce03:b91a:cd66:ff8a:22a3:974b,2,0,2,2,0,0,0,0,0,0,2,2,0
192.168.1.5-->>185.235.85.55,5,5,0,5,0,0,0,0,0,4,5,0,0
44.238.41.205-->>192.168.1.5,1,1,0,1,0,0,0,0,0,0,1,0,0
