,Occurrence,Frequency
all,59,5.01
men,39,3.31
man,34,2.89
war,23,1.95
use,23,1.95
air,22,1.87
fight,21,1.78
great,20,1.7
force,18,1.53
land,17,1.44
sea,15,1.27
large,15,1.27
one,14,1.19
age,13,1.1
time,13,1.1
enemy,13,1.1
battle,12,1.02
now,12,1.02
day,12,1.02
power,12,1.02
forces,10,0.85
loss,10,0.85
led,10,0.85
can,10,0.85
troops,10,0.85
