,Occurrence,Frequency
all,13,4.25
day,8,2.61
space,7,2.29
shuttle,6,1.96
crew,6,1.96
today,4,1.31
cover,4,1.31
man,4,1.31
live,4,1.31
great,3,0.98
time,3,0.98
mourn,3,0.98
tragedy,3,0.98
loss,3,0.98
continue,3,0.98
pain,3,0.98
years,3,0.98
program,3,0.98
say,3,0.98
hard,2,0.65
died,2,0.65
explore,2,0.65
astronaut,2,0.65
brave,2,0.65
front,2,0.65
