,Occurrence,Frequency
all,4,2.53
day,3,1.9
consider,3,1.9
years,3,1.9
break,2,1.27
lucky,2,1.27
men,2,1.27
wonderful,2,1.27
body,2,1.27
courage,2,1.27
spent,2,1.27
mother,2,1.27
baseball,2,1.27
wouldn,2,1.27
build,2,1.27
man,2,1.27
today,2,1.27
live,2,1.27
sends,1,0.63
student,1,0.63
encouragement,1,0.63
vice,1,0.63
trophies,1,0.63
sides,1,0.63
beat,1,0.63
