,Occurrence,Frequency
ill,42,5.59
pace,28,3.73
all,28,3.73
space,22,2.93
man,22,2.93
new,22,2.93
now,20,2.66
year,17,2.26
one,15,2.0
great,12,1.6
use,11,1.46
years,10,1.33
knowledge,9,1.2
pre,9,1.2
per,8,1.07
can,8,1.07
moon,7,0.93
sit,7,0.93
time,7,0.93
power,7,0.93
science,7,0.93
men,7,0.93
nation,6,0.8
city,6,0.8
story,6,0.8
